1,Dallas Ford Auto Group,1042 Belt Line Rd,Dallas,75201
2,Plano Chevrolet Imports,1084 Preston Rd,Plano,75024
3,Austin Lexus Car Gallery,1126 Congress Ave,Austin,78701
4,Houston Honda Exotics,1168 Westheimer Rd,Houston,77002
5,San Antonio Nissan Direct,1210 Lamar Blvd,San Antonio,78205
6,Fort Worth Ram Motors,1252 Main St,Fort Worth,76102
7,Richardson Yamaha Auto Group,1294 Legacy Dr,Richardson,75080
8,Dallas Suzuki Imports,1336 Belt Line Rd,Dallas,75201
9,Plano Toyota Car Gallery,1378 Preston Rd,Plano,75024
10,Austin Ford Exotics,1420 Congress Ave,Austin,78701
11,Houston Chevrolet Direct,1462 Westheimer Rd,Houston,77002
12,San Antonio Lexus Motors,1504 Lamar Blvd,San Antonio,78205
13,Fort Worth Honda Auto Group,1546 Main St,Fort Worth,76102
14,Richardson Nissan Imports,1588 Legacy Dr,Richardson,75080
15,Dallas Ram Car Gallery,1630 Belt Line Rd,Dallas,75201
16,Plano Yamaha Exotics,1672 Preston Rd,Plano,75024
17,Austin Suzuki Direct,1714 Congress Ave,Austin,78701
18,Houston Toyota Motors,1756 Westheimer Rd,Houston,77002
19,San Antonio Ford Auto Group,1798 Lamar Blvd,San Antonio,78205
20,Fort Worth Chevrolet Imports,1840 Main St,Fort Worth,76102
